Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node1 read 1k 4 1556 1556 2564.190352 93364 60002
bench-node1 read 1k 8 3448 3448 2315.758355 206911 60003
bench-node1 read 1k 16 6410 6410 2487.596762 385633 60159
bench-node1 read 1k 32 9134 9134 3495.723704 548904 60093
bench-node1 read 1k 64 10227 10227 6235.695214 615546 60188
bench-node1 read 1k 128 10067 10067 12669.574112 606011 60193
Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node2 read 8192k 1 273779 33 29906.533594 10485760 38300
bench-node2 read 8192k 2 631215 77 25548.617188 10485760 16612
bench-node2 read 8192k 4 907622 110 35450.413281 10485760 11553
bench-node2 read 8192k 8 1015569 123 62135.706250 10485760 10325
bench-node2 read 8192k 16 1084808 132 115750.321875 10485760 9666
bench-node2 read 8192k 32 1121711 136 219977.481250 10485760 9348
bench-node2 read 8192k 64 1106676 135 439229.419531 10485760 9475
bench-node2 read 8192k 128 1102371 134 879909.240625 10485760 9512
bench-node2 read 4096k 1 113252 27 36152.960217 6795264 60001
bench-node2 read 4096k 2 421758 102 19398.585547 10485760 24862
bench-node2 read 4096k 4 823769 201 19364.689844 10485760 12729
bench-node2 read 4096k 8 1084359 264 29677.531641 10485760 9670
bench-node2 read 4096k 16 1084808 264 58817.227734 10485760 9666
bench-node2 read 4096k 32 1109252 270 112497.901953 10485760 9453
bench-node2 read 4096k 64 1106793 270 222339.061719 10485760 9474
bench-node2 read 4096k 128 1097066 267 380051.564062 10485760 9558
bench-node2 read 2048k 1 159704 77 12815.884377 9582592 60002
bench-node2 read 2048k 2 273872 133 14758.687109 10485760 38287
bench-node2 read 2048k 4 758957 370 10609.403320 10485760 13816
bench-node2 read 2048k 8 1070740 522 15167.431641 10485760 9793
bench-node2 read 2048k 16 1092266 533 29772.714453 10485760 9600
bench-node2 read 2048k 32 1088863 531 59277.044141 10485760 9630
bench-node2 read 2048k 64 1077562 526 111678.438672 10485760 9731
bench-node2 read 2048k 128 1063572 519 220689.445703 10485760 9859
bench-node2 read 1024k 1 147434 143 6939.654937 8846336 60002
bench-node2 read 1024k 2 233790 228 8704.244727 10485760 44851
bench-node2 read 1024k 4 586812 573 6842.153906 10485760 17869
bench-node2 read 1024k 8 897446 876 8936.966309 10485760 11684
bench-node2 read 1024k 16 1035630 1011 15589.442480 10485760 10125
bench-node2 read 1024k 32 1068666 1043 30474.899512 10485760 9812
bench-node2 read 1024k 64 1037372 1013 61262.375879 10485760 10108
bench-node2 read 1024k 128 1034098 1009 118361.112207 10485760 10140
bench-node2 read 512k 1 111779 218 4575.883664 6707200 60004
bench-node2 read 512k 2 209635 409 4799.792041 10485760 50019
bench-node2 read 512k 4 442418 864 4540.444482 10485760 23701
bench-node2 read 512k 8 813669 1589 4858.780176 10485760 12887
bench-node2 read 512k 16 1055011 2060 7447.704687 10485760 9939
bench-node2 read 512k 32 1135559 2217 14052.568359 10485760 9234
bench-node2 read 512k 64 1171331 2287 27768.699072 10485760 8952
bench-node2 read 512k 128 1175797 2296 54536.566895 10485760 8918
bench-node2 read 256k 1 85604 334 2986.203050 5136384 60001
bench-node2 read 256k 2 167535 654 3052.228814 10053632 60009
bench-node2 read 256k 4 335855 1311 2995.507813 10485760 31221
bench-node2 read 256k 8 618847 2417 3253.368848 10485760 16944
bench-node2 read 256k 16 854724 3338 4710.923682 10485760 12268
bench-node2 read 256k 32 908644 3549 8844.032520 10485760 11540
bench-node2 read 256k 64 908723 3549 17772.335303 10485760 11539
bench-node2 read 256k 128 939752 3670 34584.591943 10485760 11158
bench-node2 read 128k 1 56687 442 2254.055056 3401344 60002
bench-node2 read 128k 2 118310 924 2160.457537 7098880 60002
bench-node2 read 128k 4 246828 1928 2053.850134 10485760 42482
bench-node2 read 128k 8 461602 3606 2180.287463 10485760 22716
bench-node2 read 128k 16 639102 4992 3117.593164 10485760 16407
bench-node2 read 128k 32 727268 5681 5431.212329 10485760 14418
bench-node2 read 128k 64 737239 5759 10877.977148 10485760 14223
bench-node2 read 128k 128 733680 5731 21754.309424 10485760 14292
bench-node2 read 64k 1 33247 519 1921.354925 1994880 60001
bench-node2 read 64k 2 75320 1176 1696.255431 4519296 60001
bench-node2 read 64k 4 156566 2446 1632.012549 9394176 60001
bench-node2 read 64k 8 284190 4440 1774.742017 10485760 36897
bench-node2 read 64k 16 414244 6472 2382.501068 10485760 25313
bench-node2 read 64k 32 454815 7106 4283.351611 10485760 23055
bench-node2 read 64k 64 468281 7316 8516.236151 10485760 22392
bench-node2 read 64k 128 465971 7280 17322.172595 10485760 22503
bench-node2 read 32k 1 18828 588 1696.042685 1129760 60003
bench-node2 read 32k 2 44173 1380 1445.813674 2650496 60002
bench-node2 read 32k 4 87335 2729 1462.590227 5240288 60002
