Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node1 write 1k 8 30909 30909 256.692343 1854587 60001
bench-node1 write 1k 16 32660 32660 487.587491 1959666 60002
bench-node1 write 1k 32 35017 35017 911.566437 2101213 60004
bench-node1 write 1k 64 35205 35205 1815.390637 2112565 60006
bench-node1 write 1k 128 36310 36310 3522.071663 2179125 60014
bench-node2 write 8192k 1 59659 7 137294.789474 3579904 60006
bench-node2 write 8192k 2 67891 8 241309.168675 4079616 60090
bench-node2 write 8192k 4 77823 9 421005.197552 4685824 60211
bench-node2 write 8192k 8 84312 10 777115.046774 5079040 60241
bench-node2 write 8192k 16 81487 9 1598054.118227 4988928 61223
bench-node2 write 8192k 32 82267 10 3165919.003252 5038080 61240
bench-node2 write 8192k 64 85643 10 5960246.280832 5513216 64374
bench-node2 write 8192k 128 87062 10 11430078.108666 5955584 68406
bench-node2 write 4096k 1 57680 14 70994.862722 3461120 60005
bench-node2 write 4096k 2 66635 16 122920.798569 4005888 60116
bench-node2 write 4096k 4 68078 16 240646.041000 4096000 60166
bench-node2 write 4096k 8 75045 18 436568.925792 4526080 60311
bench-node2 write 4096k 16 84807 20 771950.922151 5103616 60179
bench-node2 write 4096k 32 85458 20 1523550.926505 5238784 61302
bench-node2 write 4096k 64 85578 20 3013531.431957 5357568 62604
bench-node2 write 4096k 128 80085 19 6411215.978400 5120000 63932
bench-node2 write 2048k 1 55274 26 37041.249229 3319808 60060
bench-node2 write 2048k 2 56241 27 72813.237750 3385344 60193
bench-node2 write 2048k 4 64125 31 127733.976316 3891200 60681
bench-node2 write 2048k 8 63206 30 259187.725363 3803136 60170
bench-node2 write 2048k 16 70404 34 465342.582534 4268032 60622
bench-node2 write 2048k 32 78270 38 836990.337967 4714496 60233
bench-node2 write 2048k 64 81975 40 1587130.814526 4990976 60884
bench-node2 write 2048k 128 79188 38 3264199.156028 4909056 61992
bench-node2 write 1024k 1 53997 52 18956.901324 3248128 60153
bench-node2 write 1024k 2 52987 51 38641.541063 3179520 60005
bench-node2 write 1024k 4 63341 61 64653.190374 3808256 60123
bench-node2 write 1024k 8 65105 63 125809.870613 3909632 60051
bench-node2 write 1024k 16 64068 62 255695.801490 3848192 60064
bench-node2 write 1024k 32 74824 73 437833.959955 4526080 60489
bench-node2 write 1024k 64 73887 72 884358.014919 4461568 60383
bench-node2 write 1024k 128 74415 72 1750864.220446 4547584 61111
bench-node2 write 512k 1 58378 114 8765.057827 3506176 60059
bench-node2 write 512k 2 58511 114 17494.427446 3510784 60002
bench-node2 write 512k 4 58710 114 34874.361813 3523584 60016
bench-node2 write 512k 8 61520 120 66567.972092 3705856 60238
bench-node2 write 512k 16 57726 112 141890.897213 3471872 60143
bench-node2 write 512k 32 63295 123 258805.548105 3810304 60199
bench-node2 write 512k 64 75652 147 433042.415908 4557312 60240
bench-node2 write 512k 128 78360 153 835865.058875 4704768 60040
bench-node2 write 256k 1 52947 206 4830.587548 3178496 60031
bench-node2 write 256k 2 54167 211 9447.199370 3252480 60045
bench-node2 write 256k 4 51665 201 19813.558976 3101440 60029
bench-node2 write 256k 8 57527 224 35591.637959 3457024 60093
bench-node2 write 256k 16 58572 228 69920.569131 3517952 60062
bench-node2 write 256k 32 59484 232 137697.099469 3569664 60010
bench-node2 write 256k 64 61900 241 264633.040541 3725568 60186
bench-node2 write 256k 128 60349 235 541685.119450 3632640 60193
bench-node2 write 128k 1 58319 455 2191.601736 3510272 60190
bench-node2 write 128k 2 58143 454 4399.100568 3489920 60023
bench-node2 write 128k 4 55275 431 9258.517013 3318016 60027
bench-node2 write 128k 8 60210 470 17001.738372 3616000 60056
bench-node2 write 128k 16 65288 510 31361.347981 3917824 60008
bench-node2 write 128k 32 66395 518 61679.042438 3984384 60010
