Hostname Pattern Block_size Threads Read_Bandwidth_KB/s Read_IOPS Read_latency_mean Read_Total_I/O_KB Read_runtime_ms Write_Bandwidth_KB/s Write_IOPS Write_latency_mean Write_Total_I/O_KB Write_runtime_ms
bench-node3 readwrite 256k 8 49861 194 13089.575649 2998272 60132 50546 197 27523.707572 3039488 60132
bench-node3 readwrite 256k 16 55967 218 25259.127117 3385344 60488 55962 218 47420.715571 3385088 60488
bench-node3 readwrite 256k 32 62386 243 44143.418581 3788800 60731 62171 242 86005.066310 3775744 60731
bench-node3 readwrite 256k 64 74481 290 68259.728971 4507392 60517 74502 291 149897.946968 4508672 60517
bench-node3 readwrite 256k 128 107365 419 72997.639156 5276160 49142 106011 414 216366.416167 5209600 49142
bench-node3 readwrite 128k 1 25917 202 3989.547617 1555072 60001 25821 201 934.662756 1549312 60001
bench-node3 readwrite 128k 2 37149 290 4373.447486 2230272 60035 37057 289 2504.514642 2224768 60035
bench-node3 readwrite 128k 4 45913 358 4056.507364 2754944 60003 45817 357 6903.169848 2749184 60003
bench-node3 readwrite 128k 8 52866 413 6903.877735 3182592 60201 52181 407 12562.795575 3141376 60201
bench-node3 readwrite 128k 16 52821 412 15388.389819 3173248 60075 53418 417 23102.493518 3209088 60075
bench-node3 readwrite 128k 32 63245 494 26542.658492 3836160 60655 62699 489 37873.035239 3803008 60655
bench-node3 readwrite 128k 64 67443 526 45884.472625 4088960 60628 68499 535 73268.079211 4152960 60628
bench-node3 readwrite 128k 128 98189 767 51158.331622 5211136 53072 99386 776 106878.553558 5274624 53072
bench-node3 readwrite 64k 1 17396 271 3106.626855 1043840 60003 17241 269 560.636251 1034560 60003
bench-node3 readwrite 64k 2 13276 207 4460.648957 801088 60339 13007 203 5245.047949 784832 60339
bench-node3 readwrite 64k 4 14133 220 2866.810108 849664 60119 14393 224 14955.710820 865344 60119
bench-node3 readwrite 64k 8 10727 167 10847.048236 647488 60359 10603 165 37295.717800 640000 60359
bench-node3 readwrite 64k 16 8315 129 27159.187120 505856 60833 8178 127 96023.222408 497536 60833
bench-node3 readwrite 64k 32 28591 446 26428.459671 1729792 60500 28237 441 45244.140749 1708352 60500
bench-node3 readwrite 64k 64 42226 659 38492.976070 2554112 60486 42349 661 57677.691710 2561536 60486
bench-node3 readwrite 64k 128 90487 1413 38624.380256 5240768 57917 90560 1415 47296.799239 5244992 57917
bench-node3 readwrite 32k 1 8741 273 3127.126472 524512 60001 8634 269 522.705744 518080 60001
bench-node3 readwrite 32k 2 23750 742 2160.172728 1432448 60312 23521 735 518.334296 1418624 60312
bench-node3 readwrite 32k 4 31331 979 1823.070368 1898144 60582 31332 979 2234.727941 1898176 60582
bench-node3 readwrite 32k 8 20818 650 4085.844886 1255744 60320 20769 649 8176.656501 1252800 60320
bench-node3 readwrite 32k 16 19483 608 8073.344418 1178848 60504 19500 609 18164.562164 1179840 60504
bench-node3 readwrite 32k 32 24767 773 15423.131563 1495136 60368 24760 773 25693.758108 1494752 60368
bench-node3 readwrite 32k 64 55143 1723 21232.834303 3345472 60668 55188 1724 15466.217593 3348192 60668
bench-node3 readwrite 32k 128 75334 2354 29349.163427 4622208 61356 75109 2347 23363.432065 4608416 61356
bench-node3 readwrite 16k 1 13042 815 869.555583 782544 60001 13041 815 345.663157 782512 60001
bench-node3 readwrite 16k 2 14631 914 1807.641990 877920 60002 14573 910 367.289261 874448 60002
bench-node3 readwrite 16k 4 51347 3209 582.498358 3084976 60080 51672 3229 648.305628 3104480 60080
bench-node3 readwrite 16k 8 43966 2747 1847.409019 2638272 60006 43901 2743 960.513824 2634336 60006
bench-node3 readwrite 16k 16 50351 3146 2878.560447 3053936 60652 50400 3150 2124.847378 3056864 60652
bench-node3 readwrite 16k 32 50758 3172 6632.095831 3075584 60593 50740 3171 3247.223774 3074528 60593
bench-node3 readwrite 16k 64 55241 3452 13755.105738 3357280 60775 55361 3460 4038.349015 3364576 60775
bench-node3 readwrite 16k 128 73379 4586 19075.842689 4442560 60542 73422 4588 7533.444272 4445136 60542
bench-node3 readwrite 4k 1 2130 532 1547.917809 127848 60002 2115 528 319.512824 126952 60002
bench-node3 readwrite 4k 2 6221 1555 788.242585 374400 60179 6221 1555 484.867318 374428 60179
bench-node3 readwrite 4k 4 9006 2251 964.766527 544680 60475 9028 2257 789.747112 546028 60475
bench-node3 readwrite 4k 8 15512 3878 1259.860474 931384 60039 15530 3882 789.982682 932436 60039
bench-node3 readwrite 4k 16 25906 6476 1749.935242 1559456 60196 25893 6473 703.974083 1558672 60196
bench-node3 readwrite 4k 32 32609 8152 2737.248378 1966596 60308 32666 8166 1160.518076 1970028 60308
bench-node3 readwrite 4k 64 29062 7265 6700.751992 1762780 60654 29049 7262 2016.625543 1761952 60654
bench-node3 readwrite 4k 128 37333 9333 10448.275826 2244516 60120 37469 9367 3156.449946 2252660 60120
bench-node3 readwrite 2k 1 1172 586 1355.370410 70322 60001 1169 584 338.837439 70152 60001
bench-node3 readwrite 2k 2 1958 979 1693.791855 117524 60003 1950 975 336.627007 117064 60003
bench-node3 readwrite 2k 4 7391 3695 783.194527 443506 60001 7399 3699 287.605956 443986 60001
bench-node3 readwrite 2k 8 18594 9297 623.093299 1119392 60200 18637 9318 228.035153 1121994 60200
bench-node3 readwrite 2k 16 23032 11516 987.748644 1382580 60028 23052 11526 395.187402 1383772 60028
bench-node3 readwrite 2k 32 24874 12437 2047.345638 1500458 60320 24876 12438 507.296367 1500524 60320
bench-node3 readwrite 2k 64 26021 13010 3931.220504 1569058 60299 26051 13025 962.015668 1570870 60299
bench-node3 readwrite 2k 128 22661 11330 8708.409816 1360216 60024 22660 11330 2577.921393 1360184 60024
bench-node3 readwrite 1k 1 623 623 1306.683894 37402 60001 622 622 285.540767 37334 60001
bench-node3 readwrite 1k 2 798 798 2075.525907 47921 60002 794 794 416.773371 47655 60002
bench-node3 readwrite 1k 4 2114 2114 1478.182865 127701 60405 2111 2111 394.938578 127561 60405
bench-node3 readwrite 1k 8 5379 5379 994.188322 327227 60824 5401 5401 464.253773 328545 60824
bench-node3 readwrite 1k 16 6079 6079 1594.864061 366031 60207 6086 6086 1020.561361 366470 60207
bench-node3 readwrite 1k 32 8480 8480 2619.870164 510398 60184 8464 8464 1138.156567 509429 60184
bench-node3 readwrite 1k 64 12997 12997 3742.037484 785557 60438 13032 13032 1143.006032 787664 60438
bench-node3 readwrite 1k 128 12032 12032 7954.995389 725641 60309 12061 12061 2618.862052 727397 60309
bench-node4 readwrite 8192k 1 24560 2 153698.772222 1474560 60039 28516 3 154858.315789 1712128 60039
bench-node4 readwrite 8192k 2 12717 1 511015.549296 1163264 91469 11642 1 614168.369231 1064960 91469
bench-node4 readwrite 8192k 4 83785 10 131942.508885 5070848 60522 84191 10 243997.676849 5095424 60522
bench-node4 readwrite 8192k 8 88078 10 196640.300940 5226496 59339 88630 10 481047.574766 5259264 59339
bench-node4 readwrite 8192k 16 93111 11 545586.767964 5472256 58771 85305 10 875062.000000 5013504 58771
bench-node4 readwrite 8192k 32 81820 9 1352070.644951 5029888 61475 79821 9 1836920.398998 4907008 61475
bench-node4 readwrite 8192k 64 81171 9 2726341.820261 5013504 61764 82100 10 3448417.680129 5070848 61764
bench-node4 readwrite 8192k 128 77699 9 5647798.310178 5070848 65262 79708 9 6320185.201575 5201920 65262
bench-node4 readwrite 4096k 1 23793 5 117451.554286 1433600 60252 21618 5 60166.088050 1302528 60252
bench-node4 readwrite 4096k 2 51766 12 69037.401575 3121152 60293 51222 12 89921.147215 3088384 60293
bench-node4 readwrite 4096k 4 69715 17 67268.521951 4198400 60222 71687 17 163069.451613 4317184 60222
bench-node4 readwrite 4096k 8 71257 17 115868.527117 4304896 60413 76071 18 321006.146168 4595712 60413
bench-node4 readwrite 4096k 16 97395 23 171682.600000 5324800 54672 94398 23 487226.937302 5160960 54672
bench-node4 readwrite 4096k 32 85488 20 562792.942278 5251072 61424 81554 19 960661.874080 5009408 61424
bench-node4 readwrite 4096k 64 78575 19 1299235.826825 4825088 61407 79976 19 1918228.128440 4911104 61407
bench-node4 readwrite 4096k 128 81183 19 2905509.951574 5074944 62512 77579 18 3365747.097973 4849664 62512
bench-node4 readwrite 2048k 1 21405 10 66271.626582 1294336 60467 23268 11 27027.896652 1406976 60467
bench-node4 readwrite 2048k 2 56215 27 26874.058824 3377152 60075 56522 27 45673.050663 3395584 60075
bench-node4 readwrite 2048k 4 63628 31 38042.909378 3887104 61091 63393 30 89408.433104 3872768 61091
bench-node4 readwrite 2048k 8 68914 33 65054.894373 4149248 60209 66771 32 178189.393276 4020224 60209
bench-node4 readwrite 2048k 16 73725 35 112763.641907 4466688 60585 73252 35 330565.502538 4438016 60585
bench-node4 readwrite 2048k 32 81086 39 215028.695400 4941824 60945 80078 39 587649.590432 4880384 60945
bench-node4 readwrite 2048k 64 80075 39 608455.389123 4857856 60666 80548 39 1004430.766136 4886528 60666
bench-node4 readwrite 2048k 128 85323 41 1180854.480928 5208064 61039 85424 41 1659623.736057 5214208 61039
bench-node4 readwrite 1024k 1 29780 29 14943.528940 1786880 60002 30667 29 18859.007234 1840128 60002
bench-node4 readwrite 1024k 2 58534 57 15023.596215 3517440 60092 56608 55 20613.596930 3401728 60092
bench-node4 readwrite 1024k 4 64778 63 18167.352027 3889152 60038 64095 62 45509.249867 3848192 60038
bench-node4 readwrite 1024k 8 65013 63 31862.177964 3912704 60183 65387 63 93344.188394 3935232 60183
bench-node4 readwrite 1024k 16 72956 71 60460.347161 4418560 60564 75780 74 156119.849844 4589568 60564
bench-node4 readwrite 1024k 32 77449 75 101016.442938 4683776 60475 78635 76 313491.149009 4755456 60475
bench-node4 readwrite 1024k 64 83583 81 244264.776419 5106688 61097 82192 80 526596.686175 5021696 61097
bench-node4 readwrite 1024k 128 80273 78 629431.307531 4868096 60644 81641 79 943597.820889 4951040 60644
bench-node4 readwrite 512k 1 22572 44 12958.580330 1363968 60426 23801 46 9202.924172 1438208 60426
bench-node4 readwrite 512k 2 52937 103 6481.891448 3179008 60052 53005 103 12825.257841 3183104 60052
bench-node4 readwrite 512k 4 60243 117 9005.704958 3614720 60002 60738 118 24765.308092 3644416 60002
bench-node4 readwrite 512k 8 60991 119 18470.930132 3678720 60315 59752 116 49379.667708 3603968 60315
bench-node4 readwrite 512k 16 67394 131 33596.733451 4060672 60252 66043 128 89306.667782 3979264 60252
bench-node4 readwrite 512k 32 72503 141 55430.290610 4422144 60992 71991 140 168741.394007 4390912 60992
bench-node4 readwrite 512k 64 74838 146 105008.490062 4713984 62989 75358 147 311868.007119 4746752 62989
bench-node4 readwrite 512k 128 69554 135 157911.574327 4391424 63136 69449 135 748167.557333 4384768 63136
bench-node4 readwrite 256k 1 10248 40 23119.640308 631296 61600 10190 39 1851.091354 627712 61600
bench-node4 readwrite 256k 2 50022 195 5601.111869 3002368 60020 49707 194 4643.966278 2983424 60020
bench-node4 readwrite 256k 4 61516 240 6253.263926 3699456 60138 62363 243 10218.012560 3750400 60138
bench-node4 readwrite 256k 8 62235 243 10087.249198 3751680 60282 62592 244 22562.035416 3773184 60282
bench-node4 readwrite 256k 16 67129 262 19036.439633 4049920 60330 66051 258 42382.454645 3984896 60330
bench-node4 readwrite 256k 32 71045 277 33308.205137 4295424 60460 70872 276 81388.098578 4284928 60460
bench-node4 readwrite 256k 64 78733 307 56437.560275 4761088 60471 79283 309 149076.850972 4794368 60471
bench-node4 readwrite 256k 128 79758 311 94924.868725 4982528 62470 78976 308 297936.508614 4933632 62470
bench-node4 readwrite 128k 1 16238 126 6645.883605 974336 60001 16010 125 1236.587475 960640 60001
bench-node4 readwrite 128k 2 50670 395 2190.941322 3047424 60142 50483 394 2849.826265 3036160 60142
bench-node4 readwrite 128k 4 54269 423 4076.970951 3256320 60003 54612 426 5306.922776 3276928 60003
bench-node4 readwrite 128k 8 62528 488 5706.581939 3764736 60208 62016 484 10706.228789 3733888 60208
bench-node4 readwrite 128k 16 65308 510 11554.098761 3968512 60766 64650 505 19637.128079 3928576 60766
bench-node4 readwrite 128k 32 69826 545 22144.634091 4224000 60493 70302 549 35821.409391 4252800 60493
bench-node4 readwrite 128k 64 78535 613 37803.618259 4761344 60627 78925 616 64829.290480 4785024 60627
bench-node4 readwrite 128k 128 85827 670 59188.137443 5218048 60797 85656 669 113294.867666 5207680 60797
bench-node4 readwrite 64k 1 18580 290 2698.151378 1114880 60002 18400 287 739.295345 1104064 60002
bench-node4 readwrite 64k 2 36954 577 2849.594914 2217408 60003 36654 572 602.826160 2199360 60003
bench-node4 readwrite 64k 4 65913 1029 1666.783769 4085120 61977 66004 1031 2106.795942 4090752 61977
bench-node4 readwrite 64k 8 65580 1024 3664.823973 3937216 60036 65157 1018 4099.428667 3911808 60036
bench-node4 readwrite 64k 16 70269 1097 6810.481568 4229120 60184 70693 1104 7575.678450 4254592 60184
bench-node4 readwrite 64k 32 68681 1073 13576.367710 4144832 60349 68704 1073 16069.680512 4146240 60349
bench-node4 readwrite 64k 64 75639 1181 25132.610262 4582848 60588 75805 1184 28334.200240 4592896 60588
bench-node4 readwrite 64k 128 83856 1310 41660.038016 5070720 60469 84050 1313 51555.787025 5082432 60469
bench-node4 readwrite 32k 1 17833 557 1241.360537 1070048 60001 17751 554 543.320745 1065120 60001
bench-node4 readwrite 32k 2 20662 645 2634.716207 1239776 60002 20444 638 451.897404 1226720 60002
bench-node4 readwrite 32k 4 48112 1503 1811.935187 2888320 60033 47960 1498 761.654186 2879232 60033
bench-node4 readwrite 32k 8 52780 1649 2792.576562 3167520 60013 52600 1643 1810.700774 3156736 60013
bench-node4 readwrite 32k 16 64904 2028 4310.545459 3899072 60074 65085 2033 3385.501134 3909920 60074
bench-node4 readwrite 32k 32 71693 2240 7918.170622 4338752 60518 71257 2226 6115.490795 4312352 60518
bench-node4 readwrite 32k 64 73904 2309 15971.786352 4478240 60595 73604 2300 11288.829391 4460064 60595
bench-node4 readwrite 32k 128 78122 2441 31366.024080 4752096 60829 78178 2443 16851.183581 4755520 60829
bench-node4 readwrite 16k 1 29631 1851 248.464152 1777936 60001 29854 1865 279.394807 1791296 60001
bench-node4 readwrite 16k 2 34500 2156 623.541305 2070080 60001 34541 2158 292.084265 2072512 60001
bench-node4 readwrite 16k 4 33140 2071 1557.430753 1988480 60001 33110 2069 360.961367 1986688 60001
bench-node4 readwrite 16k 8 51671 3229 1569.124607 3105584 60102 51419 3213 822.102831 3090432 60102
bench-node4 readwrite 16k 16 55236 3452 3172.831594 3316752 60046 55175 3448 1422.563397 3313072 60046
bench-node4 readwrite 16k 32 63040 3940 5363.447045 3818928 60579 63161 3947 2559.267878 3826272 60579
bench-node4 readwrite 16k 64 64345 4021 11319.649125 3913776 60824 64248 4015 3869.490708 3907856 60824
bench-node4 readwrite 16k 128 70194 4387 20487.619574 4301456 61279 70625 4414 6189.531482 4327856 61279
bench-node4 readwrite 4k 1 6213 1553 408.448958 372828 60001 6235 1558 224.493313 374164 60001
bench-node4 readwrite 4k 2 11030 2757 475.430416 661852 60001 11032 2758 238.626796 661976 60001
bench-node4 readwrite 4k 4 23333 5833 453.109820 1400036 60002 23354 5838 223.772512 1401288 60002
bench-node4 readwrite 4k 8 26351 6587 908.411533 1585700 60175 26275 6568 295.320632 1581152 60175
bench-node4 readwrite 4k 16 38043 9510 1271.261431 2303264 60543 38067 9516 391.920569 2304748 60543
bench-node4 readwrite 4k 32 40576 10144 2380.805483 2441244 60164 40457 10114 745.621489 2434076 60164
bench-node4 readwrite 4k 64 41634 10408 4821.345740 2508772 60257 41721 10430 1150.947783 2514032 60257
bench-node4 readwrite 4k 128 37909 9477 11284.695265 2301696 60715 37950 9487 1699.997313 2304160 60715
bench-node4 readwrite 2k 1 2665 1332 524.165404 159960 60001 2671 1335 215.569477 160284 60001
bench-node4 readwrite 2k 2 3733 1866 797.727757 224006 60002 3727 1863 262.279039 223682 60002
bench-node4 readwrite 2k 4 4586 2293 1406.430569 275208 60002 4576 2288 325.914805 274594 60002
bench-node4 readwrite 2k 8 10860 5430 1218.532639 651668 60003 10823 5411 248.273850 649436 60003
bench-node4 readwrite 2k 16 18382 9191 1290.954874 1108276 60289 18315 9157 437.834691 1104212 60289
bench-node4 readwrite 2k 32 26873 13436 1593.440513 1617064 60174 26916 13458 776.058180 1619674 60174
bench-node4 readwrite 2k 64 26228 13114 3910.021710 1578090 60168 26242 13121 952.645435 1578948 60168
bench-node4 readwrite 2k 128 24812 12406 8510.805809 1504282 60626 24824 12412 1678.458495 1504982 60626
bench-node4 readwrite 1k 1 215 215 4212.782181 12919 60001 215 215 414.741116 12917 60001
bench-node4 readwrite 1k 2 2723 2723 428.198021 163402 60001 2734 2734 294.179650 164052 60001
bench-node4 readwrite 1k 4 3457 3457 813.344721 207481 60004 3467 3467 330.725933 208044 60004
bench-node4 readwrite 1k 8 7579 7579 806.393453 454786 60003 7563 7563 243.244740 453824 60003
bench-node4 readwrite 1k 16 10697 10697 1060.474061 657190 61434 10690 10690 398.639963 656749 61434
bench-node4 readwrite 1k 32 11059 11059 1892.348635 663602 60003 11056 11056 996.048229 663418 60003
bench-node4 readwrite 1k 64 12832 12832 3325.983503 778570 60674 12844 12844 1600.655256 779337 60674
bench-node4 readwrite 1k 128 12075 12075 7860.388315 740561 61327 12091 12091 2521.091327 741521 61327
bench-node5 readwrite 8192k 1 1709 0 3633119.750000 196608 115015 1566 0 1264460.272727 180224 115015
bench-node5 readwrite 8192k 2 48125 5 128687.572238 2891776 60088 49489 6 205876.757576 2973696 60088
bench-node5 readwrite 8192k 4 64736 7 187238.023109 3899392 60235 58208 7 354607.855140 3506176 60235
bench-node5 readwrite 8192k 8 77069 9 295560.889279 4661248 60481 77746 9 547324.916376 4702208 60481
bench-node5 readwrite 8192k 16 80068 9 617196.347973 4849664 60569 80068 9 1009569.297297 4849664 60569
bench-node5 readwrite 8192k 32 72401 8 1530541.929889 4440064 61326 73202 8 2025273.485401 4489216 61326
bench-node5 readwrite 8192k 64 80868 9 2769297.731270 5029888 62198 79683 9 3540142.143802 4956160 62198
bench-node5 readwrite 8192k 128 106166 12 4401633.704160 5316608 50078 103222 12 4870215.587956 5169152 50078
bench-node5 readwrite 4096k 1 31323 7 62650.912854 1880064 60021 30572 7 69757.323661 1835008 60021
bench-node5 readwrite 4096k 2 48144 11 61928.528996 2895872 60150 48825 11 106545.083682 2936832 60150
bench-node5 readwrite 4096k 4 60436 14 95592.074944 3661824 60590 57799 14 182574.130994 3502080 60590
bench-node5 readwrite 4096k 8 68702 16 142359.428571 4128768 60096 65908 16 348117.144778 3960832 60096
bench-node5 readwrite 4096k 16 77640 18 237328.339721 4702208 60564 77978 19 598326.725932 4722688 60564
bench-node5 readwrite 4096k 32 76451 18 644462.566021 4653056 60863 76720 18 1053635.263158 4669440 60863
bench-node5 readwrite 4096k 64 84996 20 1245391.902669 5218304 61394 81327 19 1775932.812961 4993024 61394
bench-node5 readwrite 4096k 128 90916 22 2341151.304523 5070848 55775 97084 23 2807477.459153 5414912 55775
bench-node5 readwrite 2048k 1 31537 15 35938.770563 1892352 60004 29318 14 31172.876601 1759232 60004
bench-node5 readwrite 2048k 2 44228 21 34029.156154 2662400 60197 47528 23 54490.040086 2861056 60197
bench-node5 readwrite 2048k 4 51547 25 48136.896757 3094528 60032 52776 25 108122.236587 3168256 60032
bench-node5 readwrite 2048k 8 53925 26 94576.172131 3248128 60234 55251 26 203385.554462 3328000 60234
bench-node5 readwrite 2048k 16 66453 32 136494.937627 4038656 60774 64566 31 362535.209290 3923968 60774
bench-node5 readwrite 2048k 32 75998 37 256089.424086 4761600 62654 76978 37 570090.000000 4823040 62654
bench-node5 readwrite 2048k 64 87998 42 568303.458414 5294080 60161 83402 40 916146.822857 5017600 60161
bench-node5 readwrite 2048k 128 95017 46 1048619.688505 5220352 54941 95837 46 1536329.493193 5265408 54941
bench-node5 readwrite 1024k 1 38035 37 9917.219141 2289664 60198 37763 36 17107.690991 2273280 60198
bench-node5 readwrite 1024k 2 45600 44 19469.082161 2766848 60676 45431 44 25268.763373 2756608 60676
bench-node5 readwrite 1024k 4 48984 47 23701.143798 2955264 60330 50020 48 58371.429250 3017728 60330
bench-node5 readwrite 1024k 8 56721 55 40606.359665 3422208 60333 54956 53 106542.909203 3315712 60333
bench-node5 readwrite 1024k 16 61591 60 80140.602142 3729408 60551 60745 59 186973.662305 3678208 60551
bench-node5 readwrite 1024k 32 65844 64 129737.176544 4077568 61927 67432 65 345646.827366 4175872 61927
bench-node5 readwrite 1024k 64 81539 79 254602.103918 4966400 60908 80816 78 538326.442272 4922368 60908
bench-node5 readwrite 1024k 128 88992 86 525257.413490 5237760 58856 89166 87 861673.494634 5248000 58856
bench-node5 readwrite 512k 1 35055 68 7055.824038 2129920 60759 34945 68 7554.197974 2123264 60759
bench-node5 readwrite 512k 2 42263 82 9395.565437 2539008 60075 41531 81 15075.311102 2494976 60075
bench-node5 readwrite 512k 4 46175 90 13338.631656 2788352 60386 44971 87 31671.431373 2715648 60386
bench-node5 readwrite 512k 8 50871 99 21463.023742 3062272 60196 51203 100 58438.845847 3082240 60196
bench-node5 readwrite 512k 16 54973 107 41711.993662 3312128 60250 55338 108 106054.803900 3334144 60250
bench-node5 readwrite 512k 32 55576 108 76934.908284 3405312 61272 55627 108 212379.603425 3408384 61272
bench-node5 readwrite 512k 64 53167 103 128717.711782 3389440 63750 52075 101 463799.683683 3319808 63750
bench-node5 readwrite 512k 128 57740 112 210248.384373 3735040 64687 57518 112 853790.753681 3720704 64687
bench-node5 readwrite 256k 1 22652 88 3027.941850 1364736 60246 22843 89 8185.919829 1376256 60246
bench-node5 readwrite 256k 2 38515 150 5123.319492 2318080 60186 38872 151 8056.277930 2339584 60186
bench-node5 readwrite 256k 4 47024 183 6594.654223 2825216 60080 47058 183 15140.734335 2827264 60080
bench-node5 readwrite 256k 8 52649 205 13301.158852 3166720 60147 51100 199 26277.950691 3073536 60147
bench-node5 readwrite 256k 16 54468 212 23509.090810 3292672 60451 55107 215 50589.254592 3331328 60451
bench-node5 readwrite 256k 32 63942 249 44633.913332 3851776 60238 63368 247 83910.735766 3817216 60238
bench-node5 readwrite 256k 64 74401 290 64980.540761 4496896 60441 72842 284 157301.078207 4402688 60441
bench-node5 readwrite 256k 128 91133 355 86803.586793 5222144 57302 91857 358 243215.647342 5263616 57302
bench-node5 readwrite 128k 1 24890 194 3826.796774 1507840 60580 24826 193 1302.640851 1504000 60580
bench-node5 readwrite 128k 2 43743 341 2566.902614 2624768 60003 43144 337 3314.523362 2588800 60003
bench-node5 readwrite 128k 4 46331 361 3145.836387 2780416 60012 46838 365 7802.941576 2810880 60012
bench-node5 readwrite 128k 8 50993 398 6205.140156 3093248 60660 51138 399 13646.762368 3102080 60660
bench-node5 readwrite 128k 16 53125 415 14862.536288 3229312 60787 54009 421 22849.995204 3283072 60787
bench-node5 readwrite 128k 32 60498 472 27344.892119 3641344 60189 61030 476 39855.991742 3673344 60189
bench-node5 readwrite 128k 64 73526 574 41325.682420 4474240 60852 74986 585 67197.090970 4563072 60852
bench-node5 readwrite 128k 128 93038 726 55352.508631 5249792 56426 92793 724 112822.175793 5235968 56426
bench-node5 readwrite 64k 1 42964 671 707.730735 2577920 60001 43225 675 764.977446 2593600 60001
bench-node5 readwrite 64k 2 37741 589 1501.583496 2266176 60044 37760 590 1875.230396 2267264 60044
bench-node5 readwrite 64k 4 35655 557 2539.273668 2139584 60007 35921 561 4591.682007 2155520 60007
bench-node5 readwrite 64k 8 34165 533 5817.800124 2069760 60581 34091 532 9054.545057 2065280 60581
bench-node5 readwrite 64k 16 33077 516 10770.463473 1993024 60254 33242 519 19969.370451 2003008 60254
bench-node5 readwrite 64k 32 50051 782 18384.281865 3021248 60363 50343 786 22182.150201 3038912 60363
bench-node5 readwrite 64k 64 62038 969 30288.976605 3750592 60456 62105 970 35247.670081 3754624 60456
bench-node5 readwrite 64k 128 84160 1315 43250.811708 5070592 60249 84856 1325 48872.739594 5112512 60249
bench-node5 readwrite 32k 1 8812 275 3139.998184 528768 60001 8792 274 475.670771 527584 60001
bench-node5 readwrite 32k 2 20521 641 2592.585710 1242336 60537 20454 639 500.678305 1238240 60537
bench-node5 readwrite 32k 4 41051 1282 1498.310293 2469824 60164 41037 1282 1601.801247 2468992 60164
bench-node5 readwrite 32k 8 42980 1343 2363.987172 2586848 60187 43007 1343 3569.806391 2588480 60187
bench-node5 readwrite 32k 16 42933 1341 5735.178719 2586592 60247 42974 1342 6055.700845 2589056 60247
bench-node5 readwrite 32k 32 45036 1407 10938.911656 2741632 60876 45010 1406 11489.131257 2740032 60876
bench-node5 readwrite 32k 64 65535 2047 19874.933689 3950816 60285 65184 2037 11132.435294 3929664 60285
bench-node5 readwrite 32k 128 78105 2440 31994.013579 4701504 60194 77907 2434 18500.011805 4689536 60194
bench-node5 readwrite 16k 1 4818 301 2859.330419 289136 60001 4804 300 445.180617 288256 60001
bench-node5 readwrite 16k 2 29100 1818 786.854962 1746192 60006 29229 1826 299.531062 1753920 60006
bench-node5 readwrite 16k 4 35520 2220 1322.812185 2131712 60014 35608 2225 388.764649 2136992 60014
bench-node5 readwrite 16k 8 42971 2685 1905.947824 2586032 60180 43100 2693 1050.341157 2593760 60180
bench-node5 readwrite 16k 16 50067 3129 3069.523257 3010560 60130 50175 3135 2019.444120 3017056 60130
bench-node5 readwrite 16k 32 52411 3275 6300.820923 3172896 60538 52427 3276 3197.176133 3173872 60538
bench-node5 readwrite 16k 64 57099 3568 13340.120895 3460320 60602 56804 3550 3703.314643 3442480 60602
bench-node5 readwrite 16k 128 65123 4070 23666.327434 3922576 60233 65037 4064 6562.200598 3917408 60233
bench-node5 readwrite 4k 1 1679 419 2055.637129 100752 60002 1663 415 315.200489 99796 60002
bench-node5 readwrite 4k 2 1969 492 3639.136118 118280 60044 1965 491 405.636515 118024 60044
bench-node5 readwrite 4k 4 17805 4451 624.792513 1068364 60003 17890 4472 261.226390 1073476 60003
bench-node5 readwrite 4k 8 26897 6724 819.811625 1618644 60178 26955 6738 356.719907 1622120 60178
bench-node5 readwrite 4k 16 36954 9238 1258.768012 2217532 60007 37048 9262 465.147063 2223152 60007
bench-node5 readwrite 4k 32 32775 8193 3115.255543 1973880 60225 32698 8174 675.949212 1969284 60225
bench-node5 readwrite 4k 64 33554 8388 6293.870017 2028976 60468 33588 8397 1235.018924 2031032 60468
bench-node5 readwrite 4k 128 32256 8064 12625.196355 1950056 60455 32192 8048 3020.227353 1946208 60455
bench-node5 readwrite 2k 1 4431 2215 250.781073 265888 60002 4430 2215 190.497860 265842 60002
bench-node5 readwrite 2k 2 1376 688 2491.505955 82620 60001 1362 681 402.049042 81726 60001
bench-node5 readwrite 2k 4 4381 2190 1519.302772 262990 60027 4374 2187 293.800183 262590 60027
bench-node5 readwrite 2k 8 12243 6121 969.925638 734624 60002 12229 6114 327.902193 733770 60002
bench-node5 readwrite 2k 16 18694 9347 1307.580898 1141446 61057 18628 9314 373.495273 1137396 61057
bench-node5 readwrite 2k 32 25245 12622 1948.679681 1518092 60132 25238 12619 576.198801 1517616 60132
bench-node5 readwrite 2k 64 24304 12152 4461.408398 1463684 60223 24274 12137 750.822517 1461900 60223
bench-node5 readwrite 2k 128 20523 10261 9785.194578 1234600 60155 20583 10291 2646.594858 1238194 60155
bench-node5 readwrite 1k 1 1142 1142 618.687660 68547 60001 1149 1149 243.980073 69001 60001
bench-node5 readwrite 1k 2 2162 2162 669.437817 129771 60002 2164 2164 243.897478 129894 60002
bench-node5 readwrite 1k 4 1851 1851 1851.443601 111172 60053 1845 1845 296.443476 110820 60053
bench-node5 readwrite 1k 8 5423 5423 1092.862881 331784 61179 5433 5433 349.604340 332417 61179
