Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node1 randread 2k 128 22800 11400 11110.272749 1382002 60614
bench-node1 randread 1k 1 109 109 9087.245455 6600 60072
bench-node1 randread 1k 2 204 204 9744.083510 12298 60003
bench-node1 randread 1k 4 497 497 8032.053962 29836 60006
bench-node1 randread 1k 8 2233 2233 3573.530640 134010 60004
bench-node1 randread 1k 16 5646 5646 2829.167041 338797 60005
bench-node1 randread 1k 32 9731 9731 3284.688994 583921 60006
bench-node1 randread 1k 64 11389 11389 5614.040107 683491 60008
bench-node1 randread 1k 128 11553 11553 11069.768217 693404 60018
Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node2 randread 8192k 1 501255 61 16320.834375 10485760 20919
bench-node2 randread 8192k 2 923042 112 16744.786719 10485760 11360
bench-node2 randread 8192k 4 1081563 132 29069.312500 10485760 9695
bench-node2 randread 8192k 8 1164049 142 55704.732031 10485760 9008
bench-node2 randread 8192k 16 1159416 141 110564.893750 10485760 9044
bench-node2 randread 8192k 32 1135805 138 217786.100781 10485760 9232
bench-node2 randread 8192k 64 1104461 134 445038.760938 10485760 9494
bench-node2 randread 8192k 128 1159159 141 836081.373438 10485760 9046
bench-node2 randread 4096k 1 293209 71 13950.768750 10485760 35762
bench-node2 randread 4096k 2 572741 139 14113.549219 10485760 18308
bench-node2 randread 4096k 4 1006504 245 15923.822266 10485760 10418
bench-node2 randread 4096k 8 1092039 266 29796.483984 10485760 9602
bench-node2 randread 4096k 16 1128714 275 57655.467578 10485760 9290
bench-node2 randread 4096k 32 1145233 279 108840.955078 10485760 9156
bench-node2 randread 4096k 64 1129200 275 218846.683594 10485760 9286
bench-node2 randread 4096k 128 1120992 273 429880.786719 10485760 9354
bench-node2 randread 2048k 1 152623 74 13406.147295 9162752 60035
bench-node2 randread 2048k 2 324928 158 12408.128320 10485760 32271
bench-node2 randread 2048k 4 635115 310 12598.062109 10485760 16510
bench-node2 randread 2048k 8 1025401 500 15426.313672 10485760 10226
bench-node2 randread 2048k 16 1115862 544 29055.223242 10485760 9397
bench-node2 randread 2048k 32 1102835 538 58276.912109 10485760 9508
bench-node2 randread 2048k 64 1072712 523 115683.851758 10485760 9775
bench-node2 randread 2048k 128 1039738 507 234096.738672 10485760 10085
bench-node2 randread 1024k 1 89283 87 11459.201453 5357568 60006
bench-node2 randread 1024k 2 222330 217 9081.934570 10485760 47163
bench-node2 randread 1024k 4 493563 481 8132.574902 10485760 21245
bench-node2 randread 1024k 8 896295 875 8888.770508 10485760 11699
bench-node2 randread 1024k 16 1047737 1023 15273.556250 10485760 10008
bench-node2 randread 1024k 32 1061956 1037 30554.102051 10485760 9874
bench-node2 randread 1024k 64 1020909 996 62054.846680 10485760 10271
bench-node2 randread 1024k 128 1009022 985 121855.641699 10485760 10392
bench-node2 randread 512k 1 67718 132 7552.765625 4063232 60002
bench-node2 randread 512k 2 173894 339 5870.855447 10434560 60005
bench-node2 randread 512k 4 365752 714 5397.548242 10485760 28669
bench-node2 randread 512k 8 752476 1469 5169.740674 10485760 13935
bench-node2 randread 512k 16 1097295 2143 7282.718115 10485760 9556
bench-node2 randread 512k 32 1154056 2254 14014.303076 10485760 9086
bench-node2 randread 512k 64 1149754 2245 28313.376123 10485760 9120
bench-node2 randread 512k 128 1140004 2226 56520.807031 10485760 9198
bench-node2 randread 256k 1 43731 170 5846.921171 2624000 60003
bench-node2 randread 256k 2 112991 441 4525.031905 6780160 60006
bench-node2 randread 256k 4 257521 1005 3904.200928 10485760 40718
bench-node2 randread 256k 8 555478 2169 3604.603149 10485760 18877
bench-node2 randread 256k 16 880194 3438 4531.084204 10485760 11913
bench-node2 randread 256k 32 931901 3640 8671.457837 10485760 11252
bench-node2 randread 256k 64 934393 3649 17404.919482 10485760 11222
bench-node2 randread 256k 128 919480 3591 35380.352075 10485760 11404
bench-node2 randread 128k 1 27335 213 4676.037537 1640192 60003
bench-node2 randread 128k 2 61421 479 4161.744356 3685632 60006
bench-node2 randread 128k 4 152562 1191 3351.201913 9154048 60002
bench-node2 randread 128k 8 350729 2740 2870.497644 10485760 29897
bench-node2 randread 128k 16 599289 4681 3324.761157 10485760 17497
bench-node2 randread 128k 32 732245 5720 5437.131836 10485760 14320
bench-node2 randread 128k 64 740519 5785 10864.073193 10485760 14160
bench-node2 randread 128k 128 734245 5736 22074.060913 10485760 14281
bench-node2 randread 64k 1 15534 242 4113.095366 932160 60004
bench-node2 randread 64k 2 32907 514 3883.621593 1974592 60004
bench-node2 randread 64k 4 81005 1265 3155.427358 4860672 60004
bench-node2 randread 64k 8 205675 3213 2454.840845 10485760 50982
bench-node2 randread 64k 16 377865 5904 2639.804919 10485760 27750
bench-node2 randread 64k 32 448454 7007 4326.664807 10485760 23382
bench-node2 randread 64k 64 470614 7353 8487.795917 10485760 22281
bench-node2 randread 64k 128 467259 7300 17286.087244 10485760 22441
bench-node2 randread 32k 1 8419 263 3794.548841 505152 60001
bench-node2 randread 32k 2 17627 550 3624.756852 1057728 60004
bench-node2 randread 32k 4 41584 1299 3073.175473 2495296 60006
bench-node2 randread 32k 8 103126 3222 2478.047003 6187904 60003
bench-node2 randread 32k 16 195673 6114 2523.882700 10485760 53588
