Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node1 randwrite 2k 16 912 456 35048.999854 54778 60040
bench-node1 randwrite 2k 32 937 468 68215.626172 56304 60048
bench-node1 randwrite 2k 64 942 471 135723.531352 56648 60135
bench-node1 randwrite 2k 128 1036 518 246609.958877 62398 60207
bench-node1 randwrite 1k 1 621 621 1597.076624 37312 60001
bench-node1 randwrite 1k 2 256 256 7780.629740 19200 74812
bench-node1 randwrite 1k 4 703 703 5672.595488 42246 60010
bench-node1 randwrite 1k 8 443 443 18017.870841 26626 60009
bench-node1 randwrite 1k 16 407 407 39248.093938 24463 60037
bench-node1 randwrite 1k 32 364 364 87621.718106 21948 60149
bench-node1 randwrite 1k 64 401 401 159422.963040 24107 60110
bench-node1 randwrite 1k 128 521 521 245096.007456 31385 60219
Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node2 randwrite 8192k 1 65534 7 124977.231250 3932160 60001
bench-node2 randwrite 8192k 2 67932 8 241157.550000 4096000 60295
bench-node2 randwrite 8192k 4 74158 9 440641.464481 4497408 60646
bench-node2 randwrite 8192k 8 80414 9 811822.166387 4874240 60614
bench-node2 randwrite 8192k 16 77186 9 1684393.108014 4702208 60920
bench-node2 randwrite 8192k 32 80139 9 3239774.870279 4988928 62253
bench-node2 randwrite 8192k 64 77041 9 6675054.249584 4923392 63906
bench-node2 randwrite 8192k 128 79661 9 12590335.672755 5382144 67563
bench-node2 randwrite 4096k 1 57866 14 70761.490566 3473408 60024
bench-node2 randwrite 4096k 2 60339 14 135745.032805 3620864 60008
bench-node2 randwrite 4096k 4 59795 14 273980.562785 3588096 60006
bench-node2 randwrite 4096k 8 71938 17 455424.771050 4329472 60183
bench-node2 randwrite 4096k 16 84068 20 779275.255439 5083136 60464
bench-node2 randwrite 4096k 32 81177 19 1606941.456504 4943872 60902
bench-node2 randwrite 4096k 64 78447 19 3250427.995840 4923392 62760
bench-node2 randwrite 4096k 128 78677 19 6506088.784314 5013504 63722
bench-node2 randwrite 2048k 1 63257 30 32359.718986 3796992 60024
bench-node2 randwrite 2048k 2 64058 31 63924.292332 3846144 60041
bench-node2 randwrite 2048k 4 64600 31 126790.069731 3876864 60013
bench-node2 randwrite 2048k 8 67532 32 242576.016121 4065280 60197
bench-node2 randwrite 2048k 16 69844 34 469066.032164 4202496 60169
bench-node2 randwrite 2048k 32 80308 39 812994.089076 4874240 60694
bench-node2 randwrite 2048k 64 76385 37 1702794.160282 4651008 60889
bench-node2 randwrite 2048k 128 67891 33 3517974.017489 4567040 67270
bench-node2 randwrite 1024k 1 65882 64 15532.549599 3953664 60011
bench-node2 randwrite 1024k 2 68175 66 30026.785839 4092928 60035
bench-node2 randwrite 1024k 4 63907 62 64077.307467 3840000 60087
bench-node2 randwrite 1024k 8 63482 61 129022.007515 3815424 60102
bench-node2 randwrite 1024k 16 66021 64 248120.699225 3962880 60024
bench-node2 randwrite 1024k 32 71520 69 458050.192480 4330496 60549
bench-node2 randwrite 1024k 64 79853 77 817840.429295 4851712 60758
bench-node2 randwrite 1024k 128 78581 76 1634116.891949 4871168 61989
bench-node2 randwrite 512k 1 74221 144 6890.519600 4453888 60008
bench-node2 randwrite 512k 2 72928 142 14032.199485 4376064 60005
bench-node2 randwrite 512k 4 72849 142 28100.630167 4371968 60014
bench-node2 randwrite 512k 8 69362 135 59038.158890 4169728 60115
bench-node2 randwrite 512k 16 66681 130 122832.391199 4002304 60021
bench-node2 randwrite 512k 32 72442 141 226127.221738 4347904 60019
bench-node2 randwrite 512k 64 82013 160 399437.542166 4954112 60406
bench-node2 randwrite 512k 128 87099 170 752114.860094 5229568 60041
bench-node2 randwrite 256k 1 73097 285 3495.817253 4386048 60003
bench-node2 randwrite 256k 2 76096 297 6720.874418 4566272 60006
bench-node2 randwrite 256k 4 73829 288 13861.083902 4430336 60008
bench-node2 randwrite 256k 8 76772 299 26665.805540 4611584 60068
bench-node2 randwrite 256k 16 73695 287 55565.705273 4422912 60016
bench-node2 randwrite 256k 32 73212 285 111874.238971 4398592 60080
bench-node2 randwrite 256k 64 74263 290 220570.255375 4464896 60122
bench-node2 randwrite 256k 128 73461 286 445892.111342 4430592 60312
bench-node2 randwrite 128k 1 47217 368 2704.808033 2833152 60002
bench-node2 randwrite 128k 2 37579 293 6805.153933 2255104 60009
bench-node2 randwrite 128k 4 31790 248 16097.153268 1907456 60001
bench-node2 randwrite 128k 8 49801 389 20553.092474 2988416 60006
bench-node2 randwrite 128k 16 54848 428 37328.002411 3291520 60011
bench-node2 randwrite 128k 32 44690 349 91636.550265 2682752 60030
bench-node2 randwrite 128k 64 49149 383 166639.607768 2956288 60149
bench-node2 randwrite 128k 128 43512 339 376258.352792 2622464 60269
bench-node2 randwrite 64k 1 17390 271 3674.861568 1043456 60001
bench-node2 randwrite 64k 2 28581 446 4472.196522 1714944 60002
bench-node2 randwrite 64k 4 11583 180 16188.330251 1079616 93204
bench-node2 randwrite 64k 8 32420 506 15784.895767 1945792 60017
bench-node2 randwrite 64k 16 28483 445 35940.429240 1709888 60030
bench-node2 randwrite 64k 32 21856 341 93686.400732 1312000 60028
bench-node2 randwrite 64k 64 21942 342 186639.646834 1320896 60198
bench-node2 randwrite 64k 128 16830 262 319370.377642 1550336 92114
bench-node2 randwrite 32k 1 17258 539 1848.883127 1035520 60001
bench-node2 randwrite 32k 2 14114 441 4528.399063 846944 60005
bench-node2 randwrite 32k 4 13546 423 9442.955686 815264 60184
